{
box_1:[23 157 31 84,영양정보]
box_2:[191 352 17 59,총 내용량 835 mL]
box_3:[189 352 60 97,100 mL당 172 kcal]
box_4:[34 144 119 161,100 mL당]
box_5:[238 353 100 138,1일 영양성분]
box_6:[183 352 139 176,기준치에 대한 비율]
box_7:[29 194 182 222,나트륨 127 mg]
box_8:[293 354 178 216,6 %]
box_9:[30 194 222 268,탄수화물 42g]
box_10:[285 354 224 260,13 %]
box_11:[41 165 263 308,당류 27 g]
box_12:[284 357 263 304,27 %]
box_13:[31 133 307 347,지방 0 g]
box_14:[291 356 302 339,0 %]
box_15:[53 226 348 391,트랜스지방 0 g]
box_16:[50 205 391 437,포화지방 0 g]
box_17:[293 355 393 429,0 %]
box_18:[32 223 435 474,콜레스테롤 0 mg]
box_19:[293 357 435 471,0 %]
box_20:[31 159 475 513,단백질 0 g]
box_21:[295 354 476 512,1 %]
box_22:[24 357 512 553,1일 영양성분 기준치에 대한 비율(%)은 2,000 kcal]
box_23:[23 360 553 584,기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.]
}
