{
box_1:[15 135 22 58,영양정보]
box_2:[308 328 12 43,총]
box_3:[334 396 12 41,내용량]
box_4:[404 503 16 42,64g(32g]
box_5:[504 583 14 42,x 2봉지]
box_6:[351 490 42 68,1봉지(32 g)당]
box_7:[496 584 42 66,160 kcal]
box_8:[19 83 73 97,나트륨]
box_9:[90 171 73 100,190 mg]
box_10:[174 229 71 97,10 %]
box_11:[247 331 73 100,탄수화물]
box_12:[336 383 71 100,20 g]
box_13:[386 435 72 98,6 %]
box_14:[452 493 73 99,당류]
box_15:[497 535 71 100,4 g]
box_16:[536 580 71 99,4 %]
box_17:[19 61 106 130,지방]
box_18:[65 101 105 132,8 g]
box_19:[106 160 105 131,15 %]
box_20:[200 306 104 133,트랜스지방]
box_21:[308 351 105 132,0 g]
box_22:[378 463 106 132,포화지방]
box_23:[467 520 103 132,4.2 g]
box_24:[523 580 105 131,28 %]
box_25:[19 121 135 163,콜레스테롤]
box_26:[127 182 137 164,0 mg]
box_27:[187 231 135 162,0 %]
box_28:[244 307 136 163,단백질]
box_29:[312 347 137 163,2 g]
box_30:[349 396 135 162,4 %]
box_31:[19 51 171 195,1일]
box_32:[56 135 172 196,영양성분]
box_33:[144 221 172 195,기준치에]
box_34:[227 268 172 194,대한]
box_35:[271 363 172 196,비율(%)은]
box_36:[368 471 172 194,2,000 kcal]
box_37:[477 574 171 193,기준이므로]
box_38:[19 77 197 218,개인의]
box_39:[85 180 197 219,필요열량에]
box_40:[188 228 197 218,따라]
box_41:[233 273 196 219,다를]
box_42:[279 298 196 218,수]
box_43:[304 388 197 219,있습니다.]
}
