{
box_1:[20 215 28 92,영양정보]
box_2:[419 442 20 57,총]
box_3:[450 516 21 57,내용량]
box_4:[524 581 25 59,160 g]
box_5:[464 582 62 102,520 kcal]
box_6:[17 84 114 154,나트륨]
box_7:[86 184 116 158,1,090 mg]
box_8:[191 246 117 158,55 %]
box_9:[250 338 116 158,탄수화물]
box_10:[343 388 115 159,21 g]
box_11:[390 434 115 155,6 %]
box_12:[440 484 117 158,당류]
box_13:[490 531 117 158,11 g]
box_14:[535 583 116 159,11 %]
box_15:[16 60 171 213,지방]
box_16:[67 119 171 213,42 g]
box_17:[121 176 173 211,78 %]
box_18:[198 306 171 214,트랜스지방]
box_19:[309 356 172 215,0 g]
box_20:[371 460 170 214,포화지방]
box_21:[464 510 172 214,17 g]
box_22:[513 577 171 212,113 %]
box_23:[15 124 226 269,콜레스테롤]
box_24:[129 212 227 270,205 mg]
box_25:[215 277 227 267,68 %]
box_26:[302 370 226 268,단백질]
box_27:[373 419 228 271,14 g]
box_28:[423 481 226 266,25 %]
box_29:[13 35 282 311,1일]
box_30:[37 88 281 311,영양성분]
box_31:[90 139 280 311,기준치에]
box_32:[140 167 280 311,대한]
box_33:[169 224 280 312,비율(%)은]
box_34:[225 289 280 310,2,000 kcal]
box_35:[289 350 280 309,기준이므로]
box_36:[350 391 278 312,개인의]
box_37:[392 419 281 311,필요]
box_38:[419 458 280 312,열량에]
box_39:[458 486 280 309,따라]
box_40:[486 511 280 308,다를]
box_41:[511 528 279 311,수]
box_42:[528 583 279 310,있습니다.]
}
