{
box_1:[23 154 32 82,영양정보]
box_2:[190 214 16 58,총]
box_3:[218 277 17 60,내용량]
box_4:[280 352 17 56,835 mL]
box_5:[190 253 58 96,100 mL]
box_6:[250 272 60 96,당]
box_7:[275 357 59 96,172 kcal]
box_8:[33 143 117 163,100 mL당]
box_9:[237 270 101 137,1일]
box_10:[273 350 96 138,영양성분]
box_11:[184 262 139 173,기준치에]
box_12:[268 306 137 176,대한]
box_13:[308 349 139 175,비율]
box_14:[24 99 178 217,나트륨]
box_15:[116 198 184 219,127 mg]
box_16:[291 354 180 216,6 %]
box_17:[31 123 224 262,탄수화물]
box_18:[136 198 227 263,42 g]
box_19:[282 352 224 260,13 %]
box_20:[47 97 266 303,당류]
box_21:[109 170 270 308,27 g]
box_22:[282 354 265 301,27 %]
box_23:[28 78 308 345,지방]
box_24:[88 134 308 347,0 g]
box_25:[290 354 306 342,0 %]
box_26:[47 165 352 389,트랜스지방]
box_27:[177 224 354 389,0 g]
box_28:[50 143 396 434,포화지방]
box_29:[161 206 399 434,0 g]
box_30:[293 352 398 429,0 %]
box_31:[34 145 437 472,콜레스테롤]
box_32:[163 229 440 474,0 mg]
box_33:[293 352 439 468,0 %]
box_34:[31 105 476 514,단백질]
box_35:[112 165 475 514,0 g]
box_36:[292 352 475 510,1 %]
box_37:[23 47 516 550,1일]
box_38:[46 109 517 551,영양성분]
box_39:[109 171 517 552,기준치에]
box_40:[172 206 519 550,대한]
box_41:[209 277 517 553,비율(%)은]
box_42:[279 359 517 550,2,000 kcal]
box_43:[24 89 548 582,기준이므로]
box_44:[91 136 552 581,개인의]
box_45:[132 166 552 583,필요]
box_46:[167 213 552 583,열량에]
box_47:[212 245 553 584,따라]
box_48:[247 278 552 584,다를]
box_49:[277 295 552 584,수]
box_50:[296 362 552 585,있습니다.]
}
