{
box_1:[11 200 21 90,영양정보]
box_2:[435 460 19 52,총]
box_3:[463 529 20 53,내용량]
box_4:[533 586 21 57,100 g]
box_5:[441 590 56 101,525 kcal]
box_6:[13 65 109 153,나트륨]
box_7:[64 139 110 155,30 g]
box_8:[139 202 111 151,10 %]
box_9:[225 323 109 161,탄수화물]
box_10:[324 383 112 159,30 g]
box_11:[383 431 112 155,60 %]
box_12:[455 502 111 159,당류]
box_13:[502 532 112 159,6 g]
box_14:[531 572 112 156,6 %]
box_15:[14 46 158 202,지방]
box_16:[46 89 159 206,30 g]
box_17:[88 141 159 202,56 %]
box_18:[189 309 160 210,트랜스지방]
box_19:[309 353 161 211,0 g]
box_20:[401 490 162 210,포화지방]
box_21:[490 524 161 210,3 g]
box_22:[526 574 160 210,20 %]
box_23:[13 98 205 257,콜레스테롤]
box_24:[95 169 210 258,95 mg]
box_25:[169 230 211 255,32 %]
box_26:[279 352 214 260,단백질]
box_27:[352 411 215 263,33 g]
box_28:[408 474 215 259,60 %]
box_29:[12 31 259 288,1일]
box_30:[30 71 259 294,영양성분]
box_31:[70 116 262 297,기준치에]
box_32:[116 143 264 296,대한]
box_33:[143 211 265 301,비율(%)은]
box_34:[212 288 269 301,2,000 kcal]
box_35:[287 361 268 298,기준이므로]
box_36:[361 404 269 302,개인의]
box_37:[403 435 269 300,필요]
box_38:[436 477 268 300,열량에]
box_39:[475 504 268 301,따라]
box_40:[503 528 268 299,다를]
box_41:[528 542 268 300,수]
box_42:[542 586 267 298,있습니다.]
