{
box_1:[17 170 18 62,영양정보]
box_2:[254 283 23 56,총]
box_3:[290 368 24 55,내용량]
box_4:[375 433 26 56,74 g]
box_5:[438 456 25 54,/]
box_6:[460 573 25 52,384 kcal]
box_7:[17 93 71 100,나트륨]
box_8:[103 190 71 99,170 mg]
box_9:[214 267 70 95,9 %]
box_10:[311 415 67 98,탄수화물]
box_11:[419 486 66 97,49 g]
box_12:[493 557 66 95,15 %]
box_13:[17 69 100 130,당류]
box_14:[69 138 101 131,24 g]
box_15:[149 213 100 128,24 %]
box_16:[258 313 98 127,지방]
box_17:[314 382 98 129,20 g]
box_18:[390 456 97 128,37 %]
box_19:[17 148 131 160,트랜스지방]
box_20:[148 202 132 161,0 g]
box_21:[242 346 128 161,포화지방]
box_22:[346 402 128 158,9 g]
box_23:[404 479 128 157,60 %]
box_24:[18 147 162 192,콜레스테롤]
box_25:[155 232 162 192,10 mg]
box_26:[242 298 162 192,3 %]
box_27:[342 421 159 190,단백질]
box_28:[423 470 160 188,2 g]
box_29:[483 534 160 188,4 %]
box_30:[17 49 194 219,1일]
box_31:[52 196 195 218,영양성분기준치에]
box_32:[202 241 195 216,대한]
box_33:[242 331 194 217,비율(%)은]
box_34:[334 533 193 215,2,000 kcal 기준이므로]
box_35:[17 71 218 241,개인의]
box_36:[71 113 218 241,필요]
box_37:[115 173 219 241,열량에]
box_38:[173 217 218 239,따라]
box_39:[219 260 217 241,다를]
box_40:[263 284 216 241,수]
box_41:[288 372 216 239,있습니다.]
}
