{
box_1:[26 178 31 89,영양정보]
box_2:[228 253 28 61,총]
box_3:[255 332 27 64,내용량]
box_4:[340 430 32 66,1,000 g]
box_5:[209 312 64 101,100 g 당]
box_6:[317 431 67 98,290 kcal]
box_7:[33 137 119 157,100 g당]
box_8:[325 352 116 140,1일]
box_9:[353 423 116 140,영양성분]
box_10:[280 346 140 165,기준치에]
box_11:[348 385 140 162,대한]
box_12:[384 424 139 161,비율]
box_13:[30 110 165 202,나트륨]
box_14:[191 290 169 206,505 mg]
box_15:[351 420 173 206,25 %]
box_16:[30 136 209 245,탄수화물]
box_17:[235 294 212 246,33 g]
box_18:[353 422 210 247,10 %]
box_19:[63 116 250 284,당류]
box_20:[253 299 254 289,1 g]
box_21:[367 421 258 291,1 %]
box_22:[30 82 291 329,지방]
box_23:[212 297 296 332,11.4 g]
box_24:[350 419 298 331,21 %]
box_25:[42 178 337 371,트랜스지방]
box_26:[224 344 331 372,0.5 g 미만]
box_27:[43 151 378 414,포화지방]
box_28:[224 293 380 417,3.6 g]
box_29:[351 425 380 414,24 %]
box_30:[28 157 423 458,콜레스테롤]
box_31:[206 292 422 457,7.1 mg]
box_32:[364 424 422 458,2 %]
box_33:[29 109 461 502,단백질]
box_34:[232 291 466 502,11 g]
box_35:[351 420 468 499,20 %]
box_36:[25 50 524 547,1일]
box_37:[57 127 520 549,영양성분]
box_38:[132 201 522 547,기준치에]
box_39:[201 240 522 548,대한]
box_40:[242 312 522 547,비율(%)은]
box_41:[312 427 522 550,2,000 kcal]
box_42:[24 107 550 573,기준이므로]
box_43:[107 163 550 572,개인의]
box_44:[163 199 550 573,필요]
box_45:[201 255 548 573,열량에]
box_46:[256 292 550 571,따라]
box_47:[293 329 549 574,다를]
box_48:[334 352 547 575,수]
box_49:[353 430 546 576,있습니다.]
}
