{
box_1:[143 210 10 87,영양정보]
box_2:[271 304 11 50,총]
box_3:[313 403 11 47,내용량]
box_4:[404 459 13 53,81 g]
box_5:[349 462 48 88,417 kcal]
box_6:[149 174 100 130,총]
box_7:[181 276 101 132,내용량당]
box_8:[344 378 102 129,1일]
box_9:[384 454 102 129,영양성분]
box_10:[282 372 134 160,기준치에]
box_11:[379 418 132 158,대한]
box_12:[420 455 131 158,비율]
box_13:[154 248 168 211,나트륨]
box_14:[254 372 170 213,390 mg]
box_15:[385 456 166 206,20 %]
box_16:[155 282 211 260,탄수화물]
box_17:[283 358 216 257,53 g]
box_18:[387 457 212 249,16 %]
box_19:[176 239 258 299,당류]
box_20:[251 321 261 302,22 g]
box_21:[382 454 255 293,22 %]
box_22:[153 215 303 345,지방]
box_23:[220 300 304 347,21 g]
box_24:[380 453 299 338,39 %]
box_25:[176 330 349 393,트랜스지방]
box_26:[331 385 348 388,0 g]
box_27:[177 303 394 438,포화지방]
box_28:[307 362 394 437,9 g]
box_29:[382 457 389 430,60 %]
box_30:[153 307 438 478,콜레스테롤]
box_31:[306 392 437 476,0 mg]
box_32:[397 459 430 469, 0 %]
box_33:[154 247 481 522,단백질]
box_34:[251 312 482 523,4 g]
box_35:[398 459 473 512,7 %]
box_36:[148 174 525 550,1일]
box_37:[178 249 528 552,영양성분]
box_38:[254 324 525 547,기준치에]
box_39:[323 361 525 547,대한]
box_40:[364 441 519 542,비율(%)은]
box_41:[144 241 550 568,2,000 kcal]
box_42:[243 325 548 566,기준이므로]
box_43:[326 382 544 565,개인의]
box_44:[382 418 542 564,필요]
box_45:[421 463 537 561,열량에]
box_46:[146 181 568 589,따라]
box_47:[180 221 567 590,다를]
box_48:[222 243 566 587,수]
box_49:[245 322 565 586,있습니다.]
}
