{
box_1:[16 125 11 63,영양정보]
box_2:[314 332 21 62,총]
box_3:[336 396 20 61,내용량]
box_4:[398 479 22 62,200 mL]
box_5:[483 587 16 61,125 kcal]
box_6:[14 59 63 102,나트륨]
box_7:[63 127 66 111,80 mg]
box_8:[129 164 66 104,4%]
box_9:[168 233 67 112,탄수화물]
box_10:[239 285 67 112,19 g]
box_11:[286 321 66 108,6%]
box_12:[327 360 68 108,당류]
box_13:[368 408 66 113,16 g]
box_14:[417 453 69 108,16%]
box_15:[462 494 68 107,지방]
box_16:[501 550 68 113,3.2 g]
box_17:[552 586 65 110,6%]
box_18:[13 90 114 154,트랜스지방]
box_19:[90 121 115 159,0 g]
box_20:[128 194 114 153,포화지방]
box_21:[194 245 114 160,2.0 g]
box_22:[246 285 114 154,13%]
box_23:[288 374 114 156,콜레스테롤]
box_24:[374 430 114 160,10 mg]
box_25:[434 465 117 157,3%]
box_26:[471 519 115 157,단백질]
box_27:[521 554 114 159,5 g]
box_28:[554 585 112 155,9%]
box_29:[13 33 165 200,1일]
box_30:[30 82 166 197,영양성분]
box_31:[85 134 165 199,기준치에]
box_32:[135 161 167 200,대한]
box_33:[162 221 168 202,비율(%)은]
box_34:[223 292 167 202,2,000 kcal]
box_35:[295 356 168 202,기준이므로]
box_36:[356 394 167 201,개인의]
box_37:[393 420 167 199,필요]
box_38:[421 459 168 204,열량에]
box_39:[460 487 167 199,따라]
box_40:[488 515 168 201,다를]
box_41:[515 528 169 201,수]
box_42:[531 581 169 202,있습니다.]
}
