{
box_1:[19 124 8 37,영양정보]
box_2:[422 444 3 24,총]
box_3:[446 511 3 24,내용량]
box_4:[515 578 5 24,500 g]
box_5:[404 481 26 46,100 g 당]
box_5:[484 579 24 45,48 kcal]
box_6:[20 75 54 74,나트륨]
box_7:[79 148 55 77,890 mg]
box_8:[160 210 55 73,45 %]
box_9:[253 321 52 75,탄수화물]
box_10:[321 353 52 76,6 g]
box_11:[365 401 54 73, 2 %]
box_12:[448 484 53 74,당류]
box_13:[485 517 53 75,3 g]
box_14:[530 568 55 74,3 %]
box_15:[19 57 86 107,지방]
box_16:[57 90 86 108,0 g]
box_17:[104 138 86 106, 1 %]
box_17:[210 298 85 106,트랜스지방]
box_18:[300 329 86 106,0 g]
box_19:[387 456 85 105,포화지방]
box_20:[458 489 84 107,0 g]
box_21:[500 538 82 104,0 %]
box_22:[13 105 117 143,콜레스테롤]
box_23:[112 168 120 144,13 mg]
box_24:[179 219 118 142,4 %]
box_25:[342 396 116 142,단백질]
box_26:[397 431 116 142,5 g]
box_28:[443 492 115 138,10 %]
box_29:[12 33 163 178,1일]
box_30:[34 83 162 179,영양성분]
box_31:[83 134 162 179,기준치에]
box_32:[134 160 161 179,대한]
box_33:[160 217 160 178,비율(%)은]
box_34:[217 275 160 178,2,000kcal]
box_35:[275 335 160 177,기준이므로]
box_36:[335 372 159 177,개인의]
box_37:[373 410 160 176,필요의]
box_38:[410 436 159 178,필요]
box_39:[437 473 159 176,열량에]
box_40:[473 499 158 174,따라]
box_41:[500 538 159 176,다를수]
box_42:[541 592 160 176,있습니다.]
}
