{
box_1:[23 136 34 70,영양정보]
box_2:[415 438 21 51,총]
box_3:[444 514 22 50,내용량]
box_4:[519 571 21 50,1.5 L]
box_5:[379 469 55 83,100 ml당]
box_6:[474 571 50 86,20 kcal]
box_7:[21 104 89 125,나트륨]
box_8:[107 171 88 128,3 mg]
box_9:[172 216 89 124,0 %]
box_10:[223 333 86 125,탄수화물]
box_11:[335 373 87 126,5g]
box_12:[375 421 87 125,2%]
box_13:[426 485 87 126,당류]
box_14:[486 524 87 127,5g]
box_15:[525 569 89 125,5%]
box_16:[21 80 128 166,지방]
box_17:[80 118 129 168,0g]
box_18:[118 165 129 167,0%]
box_19:[171 311 128 167,트랜스지방]
box_20:[312 353 129 168,0g]
box_21:[360 471 128 166,포화지방]
box_22:[471 510 128 168,0g]
box_23:[511 557 127 166,0%]
box_24:[21 162 167 208,콜레스테롤]
box_25:[170 231 173 208,0mg]
box_26:[238 283 171 204,0%]
box_27:[302 387 171 205,단백질]
box_28:[394 431 169 207,0g]
box_29:[438 482 170 203,0%]
box_30:[25 57 212 239,1일]
box_31:[64 153 213 239,영양성분]
box_32:[162 250 213 240,기준치에]
box_33:[257 303 213 238,대한]
box_34:[308 407 211 239,비율(%)은]
box_35:[414 520 213 236,2,00 kcal]
box_36:[524 571 211 238,기준]
box_37:[26 94 240 265,이므로]
box_38:[100 166 240 266,개인의]
box_39:[173 220 240 265,필요]
box_40:[226 293 241 266,열량에]
box_41:[300 345 239 264,따라]
box_42:[351 398 240 265,다를]
box_43:[404 428 238 265,수]
box_44:[435 529 239 265,있습니다.]
}
