{
box_1:[21 149 55 92,영양정보]
box_2:[245 414 38 65,총 내용량 930 mL]
box_3:[198 415 69 101,100 mL당 36 kcal]
box_4:[20 106 119 141,100 mL당]
box_5:[311 415 117 138,1일 영양성분]
box_6:[263 415 140 162,기준치에 대한 비율]
box_7:[21 99 179 212,나트륨]
box_8:[188 281 178 209,50 mg]
box_9:[360 412 178 204,3 %]
box_10:[22 124 222 256,탄수화물]
box_11:[231 284 222 252,9 g]
box_12:[359 411 221 248,3 %]
box_13:[47 99 266 300,당류]
box_14:[235 282 264 298,8 g]
box_15:[360 412 266 294,8 %]
box_16:[21 76 312 344,지방]
box_17:[233 283 310 340,0 g]
box_18:[358 413 310 338,0 %]
box_19:[48 176 356 387,트랜스지방]
box_20:[234 283 353 383,0 g]
box_21:[49 151 397 431,포화지방]
box_22:[234 283 397 427,0 g]
box_23:[358 413 396 425,0 %]
box_24:[24 152 444 475,콜레스테롤]
box_25:[207 283 442 472,0 mg]
box_26:[359 412 441 469,0 %]
box_27:[24 102 487 521,단백질]
box_28:[235 285 487 515,0 g]
box_29:[358 413 485 512,0 %]
box_30:[27 406 530 553,1일 영양성분 기준치에 대한 비율(%)은 2,000 kcal]
box_31:[27 419 552 575,기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.]
}
