{
box_1:[32 172 34 78,영양정보]
box_2:[301 505 17 56,총 내용량 600 g]
box_3:[272 506 54 89,100 g 당 215 kcal]
box_4:[25 142 114 149,100 g 당]
box_5:[226 502 98 134,1일 영양성분 기준치에]
box_6:[390 502 131 167,대한 비율]
box_7:[23 110 172 206,나트륨]
box_8:[230 340 172 206,430 mg]
box_9:[429 500 173 206,22 %]
box_10:[27 138 211 244,탄수화물]
box_11:[276 338 211 243,34 g]
box_12:[432 498 210 243,10 %]
box_13:[43 102 247 283,당류]
box_14:[293 339 248 282,3 g]
box_15:[446 498 247 279,3 %]
box_16:[29 86 286 318,지방]
box_17:[293 339 286 317,6 g]
box_18:[429 500 284 315,11 %]
box_19:[43 188 319 353,트랜스지방]
box_20:[292 339 321 354,0 g]
box_21:[43 158 359 390,포화지방]
box_22:[267 338 358 391,2.3 g]
box_23:[428 500 357 389,15 %]
box_24:[29 168 394 427,콜레스테롤]
box_25:[265 339 395 427,0 mg]
box_26:[444 500 394 423,0 %]
box_27:[31 111 431 465,단백질]
box_28:[293 339 431 464,6 g]
box_29:[430 501 430 460,11 %]
box_30:[25 509 471 506,1일 영양성분 기준치에 대한 비율(%)은]
box_31:[19 461 507 541,2,000 kcal 기준이므로 개인의 필요]
box_32:[21 390 540 576,열량에 따라 다를 수 있습니다.]
}
