{
box_1:[22 161 36 79,영양정보]
box_2:[194 356 23 60,총 내용량 453g]
box_3:[192 356 63 96,100g당 28 kcal]
box_4:[26 82 104 133,100g당]
box_5:[100 353 104 132,1일 영양성분 기준치에 대한 비율]
box_6:[30 217 140 180,나트륨 530mg]
box_7:[295 353 140 176,27%]
box_8:[31 188 188 228,탄수화물 7g]
box_9:[311 353 187 222,2%]
box_10:[59 160 234 272,당류 3g]
box_11:[311 353 233 270,3%]
box_12:[31 131 280 322,지방 0g]
box_13:[310 355 280 315,0%]
box_14:[59 246 326 365,트랜스지방 0g]
box_15:[60 217 372 411,포화지방 0g]
box_16:[313 355 372 408,0%]
box_17:[31 242 418 459,콜레스테롤 0mg]
box_18:[313 355 419 454,0%]
box_19:[31 168 467 507,단백질 0g]
box_20:[312 355 465 504,0%]
box_21:[24 359 515 543,1일 영양성분 기준치에 대한 비율(%)은 2,000kcal 기]
box_22:[24 359 544 569,준이므로 개인의 필요 열량에 따라 다를 수 있습니다.]
}
