{
box_1:[17 145 15 73,영양정보]
box_2:[172 298 11 42,총 내용량 190ml]
box_3:[212 297 43 78,60 kcal]
box_4:[19 123 88 121,총 내용량당]
box_5:[212 297 83 108,1일 영양성분]
box_6:[173 297 107 132,기준치에 대한 비율]
box_7:[16 175 137 184,나트륨 33 mg]
box_8:[244 294 140 176,2 %]
box_9:[17 177 187 233,탄수화물 15 g]
box_10:[245 294 189 226,5 %]
box_11:[27 139 237 283,당류 15 g]
box_12:[233 296 239 276,15 %]
box_13:[14 111 287 333,지방 0 g]
box_14:[246 297 287 326,0 %]
box_15:[26 193 337 383,트랜스지방 0 g]
box_16:[26 170 387 433,포화지방 0 g]
box_17:[245 298 387 426,0 %]
box_18:[16 206 437 481,콜레스테롤 0 mg]
box_19:[244 294 438 475,0 %]
box_20:[15 136 485 530,단백질 0 g]
box_21:[248 301 486 525,0 %]
box_22:[10 299 537 563,1일 영양성분 기준치에 대한 비율(%)은 2,000 kcal]
box_23:[11 303 564 587,기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.]
}
