{
box_1:[77 203 17 57,영양정보]
box_2:[77 412 62 95,총 내용량 306 g(17 g x 18봉지)]
box_3:[78 313 94 126,1봉지(17 g)당 84 kcal]
box_4:[77 155 135 162,1봉지 당]
box_5:[253 374 135 162,1일 영양성분]
box_6:[200 374 160 188,기준치에 대한 비율]
box_7:[409 498 147 176,100 g당]
box_8:[75 235 197 227,나트륨 100 mg]
box_9:[325 374 195 226,5 %]
box_10:[386 524 195 228,600mg30%]
box_11:[75 224 239 271,탄수화물 11 g]
box_12:[325 374 239 270,3 %]
box_13:[386 435 239 271,65 g]
box_14:[467 524 240 269,20 %]
box_15:[92 181 283 314,당류 2 g]
box_16:[326 373 282 313,2 %]
box_17:[386 436 284 315,10 g]
box_18:[470 524 283 312,10 %]
box_19:[75 182 326 358,지방 4.1 g]
box_20:[327 371 326 355,8 %]
box_21:[386 435 326 357,24 g]
box_22:[466 522 324 355,44 %]
box_23:[92 310 366 400,트랜스지방 0.5 g미만]
box_24:[386 442 368 401,0.5 g]
box_25:[92 223 410 444,포화지방 2 g]
box_26:[313 373 412 443,13 %]
box_27:[386 437 412 444,12 g]
box_28:[465 522 413 442,80 %]
box_29:[74 249 455 487,콜레스테롤0 mg]
box_30:[324 371 454 485,0 %]
box_31:[384 444 456 487,0 mg]
box_32:[481 522 457 487,0 %]
box_33:[73 230 496 528,단백질 1 g미만]
box_34:[322 371 497 528,2 %]
box_35:[385 422 498 531,5 g]
box_36:[480 523 499 528,9 %]
box_37:[78 501 540 561,1일 영양성분 기준치에 대한 비율(%)은 2,000 kcal 기준이므로]
box_38:[76 362 562 581,개인의 필요 열량에 따라 다를 수 있습니다.]
}
