{
box_1:[10 150 11 51,영양정보]
box_2:[14 39 57 94,총]
box_3:[51 141 58 96,내용량]
box_4:[151 217 58 95,30 g]
box_5:[10 147 97 133,145 kcal]
box_6:[11 27 142 164,총]
box_7:[30 93 144 163,내용량당]
box_8:[111 135 143 163,1일]
box_9:[139 200 142 163,영양성분]
box_10:[204 263 140 160,기준치에]
box_11:[266 296 141 160,대한]
box_12:[299 329 139 159,비율]
box_13:[9 100 171 208,나트륨]
box_14:[117 213 172 208,110 mg]
box_15:[269 329 169 204,6 %]
box_16:[10 132 216 252,탄수화물]
box_17:[148 214 215 253,22 g]
box_18:[275 329 216 248,7 %]
box_19:[28 89 260 297,당류]
box_20:[109 157 259 297,2 g]
box_21:[276 328 258 292,2 %]
box_22:[11 71 305 342,지방]
box_23:[82 136 303 343,6 g]
box_24:[260 328 303 340,11 %]
box_25:[28 179 349 386,트랜스지방]
box_26:[194 243 349 388,0 g]
box_27:[29 152 394 431,포화지방]
box_28:[165 237 394 434,2.1 g]
box_29:[261 329 395 433,14 %]
box_30:[12 162 438 479,콜레스테롤]
box_31:[180 253 442 479,0 mg]
box_32:[273 329 444 479,0 %]
box_33:[11 104 486 524,단백질]
box_34:[123 168 487 526,1 g]
box_35:[182 236 485 525,미만]
box_36:[274 329 490 526,2 %]
box_37:[13 36 534 562,1일]
box_38:[39 96 535 563,영양성분]
box_39:[100 158 534 563,기준치에]
box_40:[160 188 535 562,대한]
box_41:[190 256 534 563,비율(%)은]
box_42:[258 328 537 564,2,000 kcal]
box_43:[12 82 564 592,기준이므로]
box_44:[85 127 564 590,개인의]
box_45:[130 159 565 592,필요]
box_46:[160 200 563 591,열량에]
box_47:[202 230 564 590,따라]
box_48:[232 259 564 591,다를]
box_49:[260 275 566 591,수]
box_50:[277 330 565 592,있습니다.]
}
