{
box_1:[20 160 91 131,영양정보]
box_2:[199 227 87 128,총]
box_3:[238 320 91 124,내용량]
box_4:[330 581 89 126,760 g(380 gX2인분)]
box_5:[256 414 126 168,1인분(380 g)]
box_6:[426 452 127 162,당]
box_7:[461 581 128 163,553 kcal]
box_8:[16 106 179 220,나트륨]
box_9:[117 235 183 223,1,540 mg]
box_10:[242 307 183 219,77 %]
box_11:[327 443 185 222,탄수화물]
box_12:[451 507 185 222,76 g]
box_13:[515 581 184 218,23 %]
box_14:[16 75 236 276,당류]
box_15:[84 139 235 278,14 g]
box_16:[149 214 237 273,14 %]
box_17:[384 444 237 274, 지방]
box_18:[452 508 239 278,21 g]
box_19:[516 582 236 272,39 %]
box_20:[15 160 291 332,트랜스지방]
box_21:[167 234 291 335,0.3 g]
box_22:[315 434 290 330,포화지방]
box_23:[440 507 292 336,4.4 g]
box_24:[516 581 293 330,29 %]
box_25:[14 161 351 388,콜레스테롤]
box_26:[168 251 352 391,11 mg]
box_27:[258 310 349 386,4 %]
box_28:[353 444 348 389,단백질]
box_29:[452 509 351 391,15 g]
box_30:[516 583 351 386,27 %]
box_31:[17 66 405 441,1일]
box_32:[74 206 404 442,영양성분]
box_33:[213 344 404 440,기준치에]
box_34:[352 422 402 440,대한]
box_35:[431 581 405 440,비율(%)은]
box_36:[16 152 444 474,2,000 kcal]
box_37:[161 312 442 475,기준이므로]
box_38:[319 410 441 476,개인의]
box_39:[420 477 440 477,필요]
box_40:[488 575 441 478,열량에]
box_41:[16 80 476 512,따라]
box_42:[87 147 476 513,다를]
box_43:[156 185 476 513,수]
box_44:[194 324 476 515,있습니다.]
}
