{
box_1:[20 150 54 92,영양정보]
box_2:[242 266 37 66,총]
box_3:[270 332 37 65,내용량]
box_4:[337 414 37 64,930 mL]
box_5:[198 318 69 104,100 mL당]
box_6:[324 413 69 99,36 kcal]
box_7:[21 106 119 142,100 mL당]
box_8:[313 338 115 140,1일]
box_9:[346 412 115 139,영양성분]
box_10:[264 335 141 164,기준치에]
box_11:[338 374 141 163,대한]
box_12:[378 414 141 164,비율]
box_13:[22 98 179 211,나트륨]
box_14:[188 282 176 209,50 mg]
box_15:[360 412 176 205,3 %]
box_16:[17 125 224 257,탄수화물]
box_17:[233 282 222 252,9 g]
box_18:[358 412 222 251,3 %]
box_19:[46 101 268 300,당류]
box_20:[236 282 263 294,8 g]
box_21:[360 410 266 293, 8 %]
box_22:[20 76 311 344,지방]
box_23:[232 284 307 340,0 g]
box_24:[358 412 310 337,0 %]
box_25:[47 177 355 387,트랜스지방]
box_26:[232 285 351 383,0 g]
box_27:[49 152 400 431,포화지방]
box_28:[232 285 396 427,0 g]
box_29:[358 414 397 424,0 %]
box_30:[22 153 443 476,콜레스테롤]
box_31:[206 286 442 472,0 mg]
box_32:[359 412 441 469,0 %]
box_33:[24 104 487 521,단백질]
box_34:[234 285 487 516,0 g]
box_35:[358 413 485 512,0 %]
box_36:[27 53 533 554,1일]
box_37:[58 122 533 555,영양성분]
box_38:[127 193 533 555,기준치에]
box_39:[195 229 531 554,대한]
box_40:[233 317 533 554,비율(%)은]
box_41:[318 403 531 551,2,000 kcal]
box_42:[27 108 555 577,기준이므로]
box_43:[111 162 557 576,개인의]
box_44:[166 197 556 577,필요]
box_45:[202 252 556 579,열량에]
box_46:[252 290 554 577,따라]
box_47:[293 325 554 576,다를]
box_48:[329 345 554 576,수]
box_49:[350 420 554 574,있습니다.]
}
