{
box_1:[23 159 27 68,영양정보]
box_2:[419 444 17 47,총]
box_3:[451 518 16 47,내용량]
box_4:[525 579 17 48,54 g]
box_5:[459 581 47 78,260 kcal]
box_6:[23 87 82 110,나트륨]
box_7:[94 169 81 112,155 mg]
box_8:[175 214 81 110,8 %]
box_9:[222 309 81 111,탄수화물]
box_10:[313 359 82 112,36 g]
box_11:[365 417 82 112,11 %]
box_12:[424 466 83 112,당류]
box_13:[474 519 84 112,17 g]
box_14:[525 578 82 111,17 %]
box_15:[23 68 115 143,지방]
box_16:[75 120 115 145,11 g]
box_17:[126 181 114 143,20 %]
box_18:[201 310 116 144,트랜스지방]
box_19:[314 369 116 145,0.2 g]
box_20:[385 474 115 144,포화지방]
box_21:[480 515 117 146,7 g]
box_22:[520 577 117 143,47 %]
box_23:[23 133 149 176,콜레스테롤]
box_24:[137 195 149 178,2 mg]
box_25:[200 243 150 176,1 %]
box_26:[255 321 149 176,단백질]
box_27:[326 381 149 178,3.5 g]
box_28:[386 430 149 176,6 %]
box_29:[24 48 183 200,1일]
box_30:[52 109 184 201,영양성분]
box_31:[112 170 183 201,기준치에]
box_32:[174 201 182 201,대한]
box_33:[206 273 183 203,비율(%)은]
box_34:[276 345 184 202,2,000kcal]
box_35:[350 420 183 201,기준이므로]
box_36:[425 467 184 202,개인의]
box_37:[471 499 183 203,필요]
box_38:[503 546 183 204,열량에]
box_39:[549 579 183 203,따라]
box_40:[25 53 202 218,다를]
box_41:[58 73 201 218,수]
box_42:[75 136 201 217,있습니다.]
}
