{
box_1:[29 173 34 76,영양정보]
box_2:[301 328 17 52,총]
box_3:[337 418 19 53,내용량]
box_4:[426 505 20 56,600 g]
box_5:[272 349 55 89,100 g]
box_6:[360 386 56 87,당]
box_7:[393 506 58 91,215 kcal]
box_8:[26 140 113 148,100 g 당]
box_9:[226 268 97 131,1일]
box_10:[279 389 97 130,영양성분]
box_11:[399 501 97 135,기준치에]
box_12:[389 445 132 167,대한]
box_13:[452 501 132 168,비율]
box_14:[23 111 171 206,나트륨]
box_15:[230 340 171 205,430 mg]
box_16:[428 501 172 206,22 %]
box_17:[26 142 212 245,탄수화물]
box_18:[277 339 212 244,34 g]
box_19:[431 501 212 243,10 %]
box_20:[43 101 249 283,당류]
box_21:[293 339 249 280,3 g]
box_22:[443 499 248 279,3 %]
box_23:[29 85 285 318,지방]
box_24:[291 339 286 316,6 g]
box_25:[427 498 285 316,11 %]
box_26:[46 183 322 354,트랜스지방]
box_27:[291 340 322 354,0 g]
box_28:[44 156 358 390,포화지방]
box_29:[265 340 359 391,2.3 g]
box_30:[428 501 357 388,15 %]
box_31:[29 168 394 428,콜레스테롤]
box_32:[266 340 394 427,0 mg]
box_33:[443 500 393 424,0 %]
box_34:[29 110 431 465,단백질]
box_35:[292 339 431 465,6 g]
box_36:[429 501 431 459,11 %]
box_37:[26 67 472 508,1일]
box_38:[75 186 471 507,영양성분]
box_39:[193 305 472 506,기준치에]
box_40:[310 365 472 505,대한]
box_41:[376 508 471 505,비율(%)은]
box_42:[20 160 509 540,2,000 kcal]
box_43:[168 306 508 541,기준이므로]
box_44:[316 401 508 539,개인의]
box_45:[404 462 508 539,필요]
box_46:[20 102 542 580,열량에]
box_47:[109 165 544 579,따라]
box_48:[174 228 543 579,다를]
box_49:[237 268 542 576,수]
box_50:[275 392 542 577,있습니다.]
}
