{
box_1:[19 130 28 66,영양정보]
box_2:[311 334 20 48,총]
box_3:[339 400 21 47,내용량]
box_4:[406 504 21 50,70 g(35 g]
box_5:[507 520 27 42,x]
box_6:[523 585 20 48,2봉지)]
box_7:[358 490 47 70,1봉지(35 g)당]
box_8:[496 587 50 71,186 kcal]
box_9:[22 81 78 104,나트륨]
box_10:[90 163 78 106,110 mg]
box_11:[170 208 78 104,6 %]
box_12:[254 335 79 107,탄수화물]
box_13:[343 387 80 106,22 g]
box_14:[392 433 80 105,7 %]
box_15:[457 496 79 106,당류]
box_16:[504 535 81 108,9 g]
box_17:[542 583 81 107,9 %]
box_18:[23 61 110 137,지방]
box_19:[69 111 111 137,10 g]
box_20:[119 170 112 137,19 %]
box_21:[209 311 112 137,트랜스지방]
box_22:[317 349 113 138,0 g]
box_23:[386 467 113 138,포화지방]
box_24:[473 524 114 140,4.9 g]
box_25:[530 581 112 139,33 %]
box_26:[22 120 141 169,콜레스테롤]
box_27:[128 218 141 169,5 mg미만]
box_28:[225 265 144 169,1 %]
box_29:[285 343 144 170,단백질]
box_30:[351 382 145 172,2 g]
box_31:[389 427 146 169,4 %]
box_32:[23 53 177 200,1일]
box_33:[60 137 177 202,영양성분]
box_34:[143 223 178 202,기준치에]
box_35:[229 270 178 202,대한]
box_36:[274 365 178 205,비율(%)은]
box_37:[373 479 179 205,2,000 kcal]
box_38:[485 581 180 206,기준이므로]
box_39:[21 79 202 227,개인의]
box_40:[86 184 204 228,필요열량에]
box_41:[190 229 203 228,따라]
box_42:[236 276 205 229,다를]
box_43:[282 301 205 229,수]
box_44:[308 393 206 231,있습니다.]
}
