{
box_1:[22 161 33 79,영양정보]
box_2:[192 215 23 57,총]
box_3:[224 294 23 58,내용량]
box_4:[301 358 22 58,453g]
box_5:[190 270 62 95,100g당]
box_6:[274 357 62 93,28 kcal]
box_7:[25 81 102 133,100g당]
box_8:[101 127 102 133,1일]
box_9:[133 201 103 133,영양성분]
box_10:[208 276 103 133,기준치에]
box_11:[281 314 102 132,대한]
box_12:[321 356 102 130,비율]
box_13:[31 114 141 179,나트륨]
box_14:[124 217 142 181,530mg]
box_15:[293 355 141 177,27%]
box_16:[31 143 190 226,탄수화물]
box_17:[154 188 190 228,7g]
box_18:[312 353 187 224,2%]
box_19:[61 114 234 272,당류]
box_20:[124 159 235 274,3g]
box_21:[312 353 235 269,3%]
box_22:[33 85 282 319,지방]
box_23:[97 130 281 320,0g]
box_24:[313 353 279 316,0%]
box_25:[59 201 326 363,트랜스지방]
box_26:[211 245 326 365,0g]
box_27:[60 171 370 408,포화지방]
box_28:[181 217 372 411,0g]
box_29:[312 355 373 407,0%]
box_30:[30 172 418 458,콜레스테롤]
box_31:[182 243 419 458,0mg]
box_32:[313 356 420 456,0%]
box_33:[30 113 466 504,단백질]
box_34:[135 168 466 507,0g]
box_35:[313 357 468 504,0%]
box_36:[24 47 514 543,1일]
box_37:[51 107 516 541,영양성분]
box_38:[112 169 515 542,기준치에]
box_39:[174 202 515 542,대한]
box_40:[206 272 515 543,비율(%)은]
box_41:[276 342 515 542,2,000kcal]
box_42:[345 359 514 540,기]
box_43:[25 81 544 572,준이므로]
box_44:[85 128 544 572,개인의]
box_45:[131 161 544 573,필요]
box_46:[166 209 546 572,열량에]
box_47:[213 242 545 572,따라]
box_48:[247 274 544 572,다를]
box_49:[281 294 544 572,수]
box_50:[298 359 544 571,있습니다.]
}
