{
box_1:[78 203 18 58,영양정보]
box_2:[77 100 64 93,총]
box_3:[108 176 62 94,내용량]
box_4:[182 304 62 94,306 g(17 g]
box_5:[308 325 67 91,x]
box_6:[335 411 59 95],18봉지)
box_7:[79 220 95 126,1봉지(17 g)당]
box_8:[227 312 94 124,84 kcal]
box_9:[77 127 135 161,1봉지]
box_10:[135 155 135 162,당]
box_11:[256 285 134 161,1일]
box_12:[294 374 136 161,영양성분]
box_13:[201 281 161 187,기준치에]
box_14:[288 327 160 187,대한]
box_15:[333 374 161 187,비율]
box_16:[409 498 144 176,100 g당]
box_17:[77 141 196 226,나트륨]
box_18:[150 235 197 229,100 mg]
box_19:[327 373 195 227,5 %]
box_20:[385 521 197 226,600mg30 %]
box_21:[75 166 239 270,탄수화물]
box_22:[177 222 238 271,11 g]
box_23:[326 374 241 269,3 %]
box_24:[384 439 237 273,65 g]
box_25:[468 524 238 270,20 %]
box_26:[91 138 282 314,당류]
box_27:[145 181 282 315,2 g]
box_28:[325 373 281 312,2 %]
box_29:[388 438 283 315,10 g]
box_30:[470 524 282 311,10 %]
box_31:[75 119 326 356,지방]
box_32:[127 181 325 358,4.1 g]
box_33:[324 372 326 356,8 %]
box_34:[385 435 328 358,24 g]
box_35:[465 523 326 356,44 %]
box_36:[92 204 367 399,트랜스지방]
box_37:[211 311 366 401,0.5 g미만]
box_38:[385 443 370 401,0.5 g]
box_39:[92 182 412 441,포화지방]
box_40:[188 224 412 443,2 g]
box_41:[314 372 413 443,13 %]
box_42:[385 437 412 445,12 g]
box_43:[466 524 412 443,80 %]
box_44:[74 248 455 487,콜레스테롤0 mg]
box_45:[325 370 454 485,0 %]
box_46:[382 444 454 488,0 mg]
box_47:[479 523 456 485,0 %]
box_48:[72 142 498 529,단백질]
box_49:[150 232 498 529,1 g미만]
box_50:[324 371 499 528,2 %]
box_51:[385 420 500 530,5 g]
box_52:[479 524 497 529,9 %]
box_53:[78 103 540 560,1일]
box_54:[108 166 540 561,영양성분]
box_55:[170 228 540 560,기준치에]
box_56:[234 263 541 560,대한]
box_57:[268 338 540 561,비율(%)은]
box_58:[343 421 542 562,2,000 kcal]
box_59:[425 500 542 562,기준이므로]
box_60:[78 123 562 580,개인의]
box_61:[129 157 560 581,필요]
box_62:[162 206 561 582,열량에]
box_63:[210 240 561 583,따라]
box_64:[245 273 561 583,다를]
box_65:[279 293 562 583,수]
box_66:[298 360 563 584,있습니다.]
}
