{
box_1:[13 227 5 92,영양정보]
box_2:[410 440 1 43,총]
box_3:[445 522 2 44,내용량]
box_4:[527 590 6 46,325 g]
box_5:[325 404 56 98,100 g]
box_6:[409 436 57 96,당]
box_7:[454 589 49 97,105 kcal]
box_8:[15 78 109 162,나트륨]
box_9:[94 205 111 166,3,340 mg]
box_10:[218 283 111 161,167%]
box_11:[363 458 112 168,탄수화물]
box_12:[481 528 114 169,21 g]
box_13:[546 579 114 164,6%]
box_14:[11 58 177 231,당류]
box_15:[75 113 178 232,3 g]
box_16:[125 200 179 231,3 %]
box_17:[362 415 178 234,지방]
box_18:[438 497 182 235,0.8 g]
box_19:[506 544 181 230,1 %]
box_20:[10 118 242 300,트랜스지방]
box_21:[141 187 245 300,0 g]
box_22:[357 451 246 304,포화지방]
box_23:[477 534 248 302,0.3 g]
box_24:[542 576 248 297,2%]
box_25:[10 116 308 365,콜레스테롤]
box_26:[139 217 315 368,30 mg]
box_27:[231 284 314 365,10%]
box_28:[351 428 312 366,단백질]
box_29:[446 495 313 370,4 g]
box_30:[500 536 315 364,7%]
box_31:[6 20 377 409,1일]
box_32:[21 69 380 412,영양성분]
box_33:[71 120 381 414,기준치에]
box_34:[124 148 383 413,대한]
box_35:[150 213 385 413,비율(%)은]
box_36:[215 282 384 415,2,000kcal]
box_37:[286 351 386 415,기준이므로]
box_38:[358 400 386 414,개인의]
box_39:[404 428 387 417,필요]
box_40:[431 473 384 415,열량에]
box_41:[474 500 385 414,따라]
box_42:[503 527 385 413,다를]
box_43:[530 542 383 413,수]
box_44:[546 590 383 413,있습니다.]
}
