{
box_1:[32 161 45 87,영양정보]
box_2:[254 277 34 61,총]
box_3:[279 342 34 62,내용량]
box_4:[344 426 34 60,930 mL]
box_5:[205 329 64 100,100mL당]
box_6:[331 424 64 98,36 kcal]
box_7:[32 120 112 135,100mL당]
box_8:[320 349 114 135,1일]
box_9:[352 423 113 137,영양성분]
box_10:[272 344 137 161,기준치에]
box_11:[348 385 138 160,대한]
box_12:[388 422 138 161,비율]
box_13:[32 110 171 204,나트륨]
box_14:[197 292 171 202,50 mg]
box_15:[365 421 172 204,3 %]
box_16:[31 135 215 250,탄수화물]
box_17:[243 292 215 247,9 g]
box_18:[368 421 219 247,0 %]
box_19:[57 111 260 291,당류]
box_20:[243 290 260 289,0 g]
box_21:[367 420 260 289,3 %]
box_22:[31 87 303 335,지방]
box_23:[241 294 303 335,8 g]
box_24:[364 420 302 333,8 %]
box_25:[57 183 343 380,트랜스지방]
box_26:[240 292 346 375,0 g]
box_27:[58 164 391 424,포화지방]
box_28:[239 291 386 422,0 g]
box_29:[365 420 389 421,0 %]
box_30:[29 158 434 467,콜레스테롤]
box_31:[213 291 434 465,0 mg]
box_32:[365 419 437 464,0 %]
box_33:[33 111 477 510,단백질]
box_34:[238 290 479 508,0 mg]
box_35:[362 420 478 510,0 %]
box_36:[33 63 520 544,1일]
box_37:[64 129 522 546,영양성분]
box_38:[130 200 522 547,기준치에]
box_39:[201 236 524 547,대한]
box_40:[237 321 522 547,비율(%)은]
box_41:[322 410 524 545,2,000 kcal]
box_42:[33 115 544 567,기준이므로]
box_43:[116 168 546 569,개인의]
box_44:[169 204 546 568,필요]
box_45:[206 258 547 569,열량에]
box_46:[261 293 547 569,따라]
box_47:[296 331 549 571,다를]
box_48:[334 351 547 568,수]
box_49:[351 426 546 567,있습니다.]
}
