{
box_1:[80 197 48 83,영양정보]
box_2:[372 394 37 61,총]
box_3:[401 461 38 60,내용량]
box_4:[461 513 40 63,907g]
box_5:[365 411 70 93,100g]
box_6:[417 437 68 90,당]
box_7:[442 523 68 91,395kcal]
box_8:[80 141 120 143,100 g]
box_9:[149 171 119 143,당]
box_10:[412 441 108 133,1일]
box_11:[446 520 109 130,영양성분]
box_12:[362 433 136 156,기준치에]
box_13:[442 476 135 155,대한]
box_14:[481 518 136 155,비율]
box_15:[79 149 174 199,나트륨]
box_16:[272 333 175 203,35 mg]
box_17:[471 515 176 199,2 %]
box_18:[79 170 218 247,탄수화물]
box_19:[287 337 223 247,99g]
box_20:[459 519 223 246,31 %]
box_21:[78 126 263 290,당류]
box_22:[286 335 268 290,96 g]
box_23:[457 519 265 289,96 %]
box_24:[77 127 307 334,지방]
box_25:[300 336 309 335,0 g]
box_26:[472 517 305 335,0 %]
box_27:[80 198 348 379,트랜스지방]
box_28:[299 333 352 377,0 g]
box_29:[78 174 397 422,포화지방]
box_30:[298 336 401 427,0 g]
box_31:[472 519 398 424,0 %]
box_32:[80 195 437 469,콜레스테롤]
box_33:[281 338 444 467,0 mg]
box_34:[469 521 441 467,0 %]
box_35:[80 151 485 511,단백질]
box_36:[301 334 488 512,0 g]
box_37:[471 519 485 511,0 %]
box_38:[79 107 525 542,1일]
box_39:[112 182 524 543,영양성분]
box_40:[185 254 523 545,기준치에]
box_41:[257 292 524 544,대한]
box_42:[298 377 524 542,비율(%)은]
box_43:[382 472 524 543,2,000kcal]
box_44:[77 162 550 565,기준이므로]
box_45:[168 218 550 566,개인의]
box_46:[225 259 550 567,필요]
box_47:[266 315 550 566,열량에]
box_48:[320 355 551 566,따라]
box_49:[361 395 550 567,다를]
box_50:[403 416 550 567,수]
box_51:[424 498 548 566,있습니다.]
}
