{
box_1:[23 156 19 81,영양정보]
box_2:[177 196 17 50,총]
box_3:[198 248 18 47,내용량]
box_4:[251 310 18 48,190 ml]
box_5:[217 307 50 86,65 kcal]
box_6:[30 51 92 125,총]
box_7:[53 135 94 126,내용량당]
box_8:[217 241 91 115,1일]
box_9:[244 303 90 114,영양성분]
box_10:[175 236 114 140,기준치에]
box_11:[239 269 115 140,대한]
box_12:[272 305 114 139,비율]
box_13:[25 98 142 183,나트륨]
box_14:[102 183 143 188,24 mg]
box_15:[252 300 146 184,1 %]
box_16:[26 121 191 232,탄수화물]
box_17:[126 185 194 238,16 g]
box_18:[250 304 196 234,5 %]
box_19:[35 85 239 283,당류]
box_20:[90 147 241 286,15 g]
box_21:[238 303 245 282,15 %]
box_22:[23 73 289 330,지방]
box_23:[78 120 289 332,0 g]
box_24:[251 301 291 330,0 %]
box_25:[35 153 337 381,트랜스지방]
box_26:[158 201 339 383,0 g]
box_27:[35 128 385 428,포화지방]
box_28:[133 179 388 429,0 g]
box_29:[251 302 389 424,0 %]
box_30:[23 141 432 476,콜레스테롤]
box_31:[146 210 437 480,0 mg]
box_32:[250 301 438 475,0 %]
box_33:[22 94 482 523,단백질]
box_34:[99 143 484 527,0 g]
box_35:[253 300 484 523,0 %]
box_36:[18 40 531 555,1일]
box_37:[41 92 531 556,영양성분]
box_38:[94 143 534 558,기준치에]
box_39:[145 170 534 558,대한]
box_40:[171 236 534 558,비율(%)은]
box_41:[235 302 535 557,2,000kcal]
box_42:[20 77 557 581,기준이므로]
box_43:[80 116 559 583,개인의]
box_44:[118 143 560 583,필요]
box_45:[145 182 560 584,열량에]
box_46:[183 209 560 584,따라]
box_47:[209 236 560 584,다를]
box_48:[239 252 560 584,수]
box_49:[254 304 561 583,있습니다.]
}
