{
box_1:[21 143 20 58,영양정보]
box_2:[430 457 10 39,총]
box_3:[462 525 11 38,내용량]
box_4:[531 583 11 42,60 g]
box_5:[489 582 45 70,291 kcal]
box_6:[16 83 78 107,나트륨]
box_7:[87 171 80 110,170 mg]
box_8:[174 217 81 107,9 %]
box_9:[224 309 81 109,탄수화물]
box_10:[315 367 81 109,44 g]
box_11:[371 425 80 109,14 %]
box_12:[430 473 82 109,당류]
box_13:[477 527 82 111,20 g]
box_14:[532 588 81 109,20 %]
box_15:[16 61 123 149,지방]
box_16:[67 117 124 152,11 g]
box_17:[119 175 124 148,20 %]
box_18:[208 316 121 152,트랜스지방]
box_19:[321 355 123 152,0 g]
box_20:[400 488 123 151,포화지방]
box_21:[492 529 124 152,6 g]
box_22:[531 588 123 149,40 %]
box_23:[16 124 159 189,콜레스테롤]
box_24:[128 186 159 190,0 mg]
box_25:[190 233 160 187,0 %]
box_26:[254 319 161 189,단백질]
box_27:[325 359 161 190,4 g]
box_28:[363 409 160 188,7 %]
box_29:[21 54 208 231,1일]
box_30:[58 138 208 232,영양성분]
box_31:[144 225 207 232,기준치에]
box_32:[230 270 208 233,대한]
box_33:[274 369 207 233,비율(%)은]
box_34:[374 483 209 234,2,000 kcal]
box_35:[21 119 235 260,기준이므로]
box_36:[124 185 234 259,개인의]
box_37:[190 230 235 261,필요]
box_38:[235 296 235 261,열량에]
box_39:[301 344 237 261,따라]
box_40:[348 389 236 261,다를]
box_41:[393 416 235 261,수]
box_42:[421 504 236 262,있습니다.]
}
