{
box_1:[30 224 35 98,영양정보]
box_2:[267 302 24 63,총]
box_3:[304 384 27 64,내용량]
box_4:[387 469 29 65,217 g]
box_5:[330 468 66 107,855 kcal]
box_6:[33 56 121 147,총]
box_7:[60 144 120 147,내용량당]
box_8:[177 210 120 145,1일]
box_9:[215 294 119 145,영양성분]
box_10:[299 378 119 147,기준치에]
box_11:[383 423 121 147,대한]
box_12:[428 467 122 148,비율]
box_13:[35 128 156 193,나트륨]
box_14:[136 222 155 193,0 mg]
box_15:[412 470 157 194,0 %]
box_16:[37 156 199 240,탄수화물]
box_17:[165 271 201 240,210 g]
box_18:[394 467 199 239,65 %]
box_19:[58 124 249 285,당류]
box_20:[132 232 248 285,169 g]
box_21:[376 468 244 288,169 %]
box_22:[34 100 290 332,지방]
box_23:[107 198 293 335,1.1 g]
box_24:[409 468 296 334,2%]
box_25:[60 216 341 381,트랜스지방]
box_26:[219 281 340 381,0 g]
box_27:[60 183 389 425,포화지방]
box_28:[190 280 390 431,0.9 g]
box_29:[410 469 390 425,6 %]
box_30:[35 189 435 477,콜레스테롤]
box_31:[197 286 436 476,0 mg]
box_32:[410 468 435 473,0 %]
box_33:[34 128 481 522,단백질]
box_34:[135 227 483 524,0.7 g]
box_35:[415 466 484 519,1 %]
box_36:[33 60 536 557,1일]
box_37:[63 127 537 558,영양성분]
box_38:[130 197 538 560,기준치에]
box_39:[199 231 537 560,대한]
box_40:[234 308 539 560,비율(%)은]
box_41:[310 387 537 559,2,000kcal]
box_42:[391 467 537 557,기준이므로]
box_43:[31 81 560 579,개인의]
box_44:[84 116 561 580,필요]
box_45:[121 171 560 583,열량에]
box_46:[173 205 561 580,따라]
box_47:[209 240 559 584,다를]
box_48:[242 260 561 581,수]
box_49:[265 331 562 582,있습니다.]
}
