{
box_1:[30 165 19 64,영양정보]
box_2:[429 451 15 44,총]
box_3:[453 515 16 44,내용량]
box_4:[518 579 15 48,900 g]
box_5:[404 483 45 73,100 g당]
box_6:[487 580 45 76,105 kcal]
box_7:[16 83 73 105,나트륨]
box_8:[85 168 75 107,780 mg]
box_9:[176 237 76 105,39 %]
box_10:[248 332 77 108,탄수화물]
box_11:[333 383 77 109,21 g]
box_12:[390 440 80 107,6 %]
box_13:[448 494 78 108,당류]
box_14:[496 532 79 110,2 g]
box_15:[539 586 81 108,2 %]
box_16:[17 60 111 141,지방]
box_17:[64 120 111 142,0.7 g]
box_18:[129 176 111 141,1 %]
box_19:[190 292 112 144,트랜스지방]
box_20:[294 332 113 143,0 g]
box_21:[345 427 113 145,포화지방]
box_22:[431 486 115 145,0.2 g]
box_23:[495 535 117 144,1 %]
box_24:[16 124 148 176,콜레스테롤]
box_25:[127 179 148 177,5 mg]
box_26:[188 233 148 176,2 %]
box_27:[248 313 148 179,단백질]
box_28:[316 352 148 179,4 g]
box_29:[356 406 150 179,7 %]
box_30:[17 38 184 201,1일]
box_31:[39 88 184 201,영양성분]
box_32:[90 141 182 201,기준치에]
box_33:[142 168 183 202,대한]
box_34:[170 232 184 202,비율(%)은]
box_35:[231 298 184 203,2,000 kcal]
box_36:[298 355 184 201,기준이므로]
box_37:[356 390 184 203,개인의]
box_38:[394 416 184 204,필요]
box_39:[418 455 186 203,열량에]
box_40:[457 479 186 205,따라]
box_41:[481 506 186 205,다를]
box_42:[507 519 187 204,수]
box_43:[519 572 186 206,있습니다.]
}
