{
box_1:[18 100 32 78,영양정보]
box_2:[163 186 22 60,총]
box_3:[185 238 20 57,내용량]
box_4:[239 297 22 57,350 mL]
box_5:[221 301 58 94,148 kcal]
box_6:[20 39 117 154,총]
box_7:[39 106 114 153,내용량당]
box_8:[201 229 99 134,1일]
box_9:[229 299 100 132,영양성분]
box_10:[157 222 135 166,기준치에]
box_11:[226 263 135 168,대한]
box_12:[263 297 135 169,비율]
box_13:[20 73 173 209,나트륨]
box_14:[75 121 170 211,5 mg]
box_15:[266 298 174 207,0 %]
box_16:[22 88 211 248,탄수화물]
box_17:[94 131 212 248,37 g]
box_18:[258 299 209 246,11 %]
box_19:[34 71 251 289,당류]
box_20:[75 113 251 288,36 g]
box_21:[258 301 250 285,36 %]
box_22:[20 57 291 323,지방]
box_23:[60 93 291 327,0 g]
box_24:[265 302 287 319,0 %]
box_25:[36 121 329 363,트랜스지방]
box_26:[122 154 329 368,0 g]
box_27:[36 102 367 401,포화지방]
box_28:[103 139 366 405,0 g]
box_29:[268 304 364 400,0 %]
box_30:[20 108 406 442,콜레스테롤]
box_31:[108 161 405 443,0 mg]
box_32:[268 303 402 435,0 %]
box_33:[21 76 445 483,단백질]
box_34:[75 107 445 483,0 g]
box_35:[264 301 441 475,0 %]
box_36:[19 49 491 524,1일]
box_37:[51 121 486 520,영양성분]
box_38:[126 195 483 514,기준치에]
box_39:[201 234 480 515,대한]
box_40:[237 303 482 517,비율(%)]
box_41:[22 39 522 557,은]
box_42:[44 125 524 553,2,000 kcal]
box_43:[127 211 517 545,기준이므로]
box_44:[211 263 517 547,개인의]
box_45:[267 302 519 548,필요]
box_46:[22 74 557 589,열량에]
box_47:[78 115 553 586,따라]
box_48:[116 150 550 584,다를]
box_49:[152 176 546 583,수]
box_50:[177 250 549 582,있습니다.]
}
