{
box_1:[17 170 34 88,영양정보]
box_2:[210 239 23 60,총]
box_3:[243 318 25 59,내용량]
box_4:[323 423 25 61,1,000 g]
box_5:[197 300 63 99,100 g 당]
box_6:[305 418 62 95,275 kcal]
box_7:[23 128 117 158,100 g당]
box_8:[311 342 114 138,1일]
box_9:[345 412 112 138,영양성분]
box_10:[268 337 137 162,기준치에]
box_11:[339 377 137 162,대한]
box_12:[377 415 137 161,비율]
box_13:[25 104 167 206,나트륨]
box_14:[181 286 168 209,500 mg]
box_15:[334 410 170 204, 25 %]
box_16:[25 128 211 249,탄수화물]
box_17:[219 285 214 254,31 g]
box_18:[338 409 216 250,10 %]
box_19:[56 111 255 293,당류]
box_20:[235 287 257 294,6 g]
box_21:[353 412 261 294,6 %]
box_22:[25 80 299 335,지방]
box_23:[225 283 303 337,12 g]
box_24:[337 412 304 335,22 %]
box_25:[45 169 342 379,트랜스지방]
box_26:[215 335 342 377,0.5 g미만]
box_27:[41 146 386 421,포화지방]
box_28:[215 284 386 420,2.3 g]
box_29:[344 411 389 418,15 %]
box_30:[30 157 429 463,콜레스테롤]
box_31:[198 285 430 462,1.3 mg]
box_32:[356 414 428 463,0 %]
box_33:[28 105 471 507,단백질]
box_34:[227 289 471 507,10 g]
box_35:[346 414 470 502,18 %]
box_36:[23 53 522 549,1일]
box_37:[55 126 523 549,영양성분]
box_38:[127 197 525 548,기준치에]
box_39:[199 234 521 547,대한]
box_40:[237 325 520 545비율(%)은]
box_41:[327 418 519 545,2,000kcal]
box_42:[23 106 550 576,기준이므로]
box_43:[106 159 547 576,개인의]
box_44:[161 196 547 575,필요]
box_45:[196 249 547 573,열량에]
box_46:[250 286 547 571,따라]
box_47:[289 326 547 571,다를]
box_48:[326 344 546 571,수]
box_49:[349 420 544 574,있습니다.]
}
