{
box_1:[11 164 18 68,영양정보]
box_2:[108 139 66 104,총]
box_3:[142 216 68 107,내용량]
box_4:[222 304 72 114,1,000 g]
box_5:[113 204 104 143,100 g당]
box_6:[205 308 107 148,175 kcal]
box_7:[19 94 162 196,100 g 당]
box_8:[194 230 150 176,1일]
box_9:[232 310 150 180,영양성분]
box_10:[141 221 175 202,기준치에]
box_11:[225 266 174 204,대한]
box_12:[269 310 176 206,비율]
box_13:[19 93 209 239,나트륨]
box_14:[104 190 208 244,115 mg]
box_15:[263 310 209 243,6 %]
box_16:[19 118 250 283,탄수화물]
box_17:[127 181 250 284,29 g]
box_18:[260 308 250 283,9 %]
box_19:[34 86 286 317,당류]
box_20:[92 138 289 325,9 g]
box_21:[260 308 288 321,9 %]
box_22:[22 70 327 359,지방]
box_23:[80 120 326 361,5 g]
box_24:[262 311 327 359,9 %]
box_25:[37 153 365 398,트랜스지방]
box_26:[166 206 362 401,0 g]
box_27:[36 135 402 437,포화지방]
box_28:[143 206 404 440,0.9 g]
box_29:[257 309 406 437,6 %]
box_30:[19 140 441 476,콜레스테롤]
box_31:[150 213 443 481,0 mg]
box_32:[259 312 442 478,0 %]
box_33:[22 98 479 515,단백질]
box_34:[105 147 481 516,2 g]
box_35:[261 314 482 516,0 %]
box_36:[11 40 520 543,1일]
box_37:[42 111 518 542,영양성분]
box_38:[115 182 519 543,기준치에]
box_39:[183 218 519 542,대한]
box_40:[222 302 517 543,비율(%)은]
box_41:[7 89 540 564,2,000 kcal]
box_42:[92 174 540 563,기준이므로]
box_43:[176 223 540 570,개인의]
box_44:[225 258 543 566,필요]
box_45:[263 317 542 566,열량에]
box_46:[11 50 565 585,따라]
box_47:[50 86 564 587,다를]
box_48:[86 108 563 588,수]
box_49:[107 184 564 592,있습니다.]
}
