{
box_1:[30 162 43 86,영양정보]
box_2:[253 426 31 63,총 내용량 930 mL]
box_3:[204 425 61 100,100 mL당 36 kcal]
box_4:[31 120 110 138,100 mL당]
box_5:[318 425 112 136,1일 영양성분]
box_6:[270 424 133 161,기준치에 대한 비율]
box_7:[31 111 171 205,나트륨]
box_8:[195 295 168 203,50 mg]
box_9:[367 425 168 205,3 %]
box_10:[30 138 215 250,탄수화물]
box_11:[241 292 216 250,9 g]
box_12:[366 424 218 248,3 %]
box_13:[56 115 260 292,당류]
box_14:[244 292 257 293,8 g]
box_15:[365 421 258 290,8 %]
box_16:[29 88 302 335,지방]
box_17:[239 290 304 335,0 g]
box_18:[364 423 303 339,0 %]
box_19:[57 187 345 381,트랜스지방]
box_20:[239 296 342 381,0 g]
box_21:[55 165 391 424,포화지방]
box_22:[239 294 391 423,0 g]
box_23:[364 421 389 419,0 %]
box_24:[32 160 432 471,콜레스테롤]
box_25:[210 293 433 462,0 mg]
box_26:[361 421 434 467,0 %]
box_27:[33 112 478 511,단백질]
box_28:[241 295 478 511,0 g]
box_29:[365 418 477 509,0 %]
box_30:[34 413 520 547,1일 영양성분 기준치에 대한 비율(%)은 2,000 kcal]
box_31:[33 427 543 571,기준이므로 개인의 필요 열량에 따라 다를 수있습니다.]
}
