{
box_1:[80 197 45 83,영양정보]
box_2:[371 511 38 64,총 내용량907g]
box_3:[365 520 68 93,100g 당 395kcal]
box_4:[75 176 113 147,100 g 당]
box_5:[410 520 107 134,1일 영양성분]
box_6:[361 518 134 158,기준치에 대한 비율]
box_7:[74 147 172 199,나트륨]
box_8:[265 338 173 202,35 mg]
box_9:[469 523 173 198,2 %]
box_10:[74 171 216 247,탄수화물]
box_11:[280 336 217 248,99 g]
box_12:[452 520 217 245,31 %]
box_13:[76 133 263 293,당류]
box_14:[280 343 264 292,96 g]
box_15:[454 521 261 291,96 %]
box_16:[77 133 303 337,지방]
box_17:[294 340 308 337,0 g]
box_18:[470 519 302 338,0 %]
box_19:[78 197 348 380,트랜스지방]
box_20:[295 336 348 380,0 g]
box_21:[74 176 396 425,포화지방]
box_22:[301 338 398 427,0 g]
box_23:[467 522 394 426,0 %]
box_24:[76 195 436 468,콜레스테롤]
box_25:[280 336 440 471,0 mg]
box_26:[464 520 438 469,0 %]
box_27:[77 152 482 514,단백질]
box_28:[294 336 487 512,0 g]
box_29:[471 518 486 513,0 %]
box_30:[80 472 522 547,1일 영양성분 기준치에 대한 비율(%)은 2,000 kcal]
box_31:[80 498 548 571,기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.]
}
