{
box_1:[25 158 16 81,영양정보]
box_2:[178 307 17 49,총 내용량 190 ml]
box_3:[215 308 48 86,65 kcal]
box_4:[31 138 89 129,총 내용량당]
box_5:[211 306 88 117,1일 영양성분]
box_6:[174 305 112 141,기준치에 대한 비율]
box_7:[24 187 140 190,나트륨 24 mg]
box_8:[248 305 143 186,1 %]
box_9:[21 188 188 239,탄수화물 16 g]
box_10:[248 302 191 234,5 %]
box_11:[33 149 235 288,당류 15 g]
box_12:[228 307 240 284,15 %]
box_13:[24 126 286 334,지방 0 g]
box_14:[251 305 289 335,0 %]
box_15:[34 204 337 386,트랜스지방 0 g]
box_16:[34 177 382 433,포화지방 0 g]
box_17:[249 304 386 429,0 %]
box_18:[22 216 430 483,콜레스테롤 0 mg]
box_19:[249 307 434 480,0 %]
box_20:[21 143 477 527,단백질 0 g]
box_21:[248 303 484 525,0 %]
box_22:[16 305 527 561,1일 영양성분 기준치에 대한 비율(%)은 2,000kcal]
box_23:[14 310 553 586,기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.]
}
