{
box_1:[25 222 31 96,영양정보]
box_2:[265 469 22 67,총 내용량 217 g]
box_3:[328 474 62 111,855 kcal]
box_4:[32 147 116 150,총 내용량당]
box_5:[174 472 112 154,1일 영양성분 기준치에 대한 비율]
box_6:[35 227 153 195,나트륨 0 mg]
box_7:[406 473 155 193,0 %]
box_8:[28 273 196 243,탄수화물 210 g]
box_9:[392 471 200 242,65 %]
box_10:[61 241 244 290,당류 169 g]
box_11:[374 469 245 288,169 %]
box_12:[30 203 292 334,지방 1.1 g]
box_13:[402 475 293 337,2 %]
box_14:[60 278 340 383,트랜스지방 0 g]
box_15:[58 282 388 433,포화지방 0.9 g]
box_16:[411 476 386 432,6 %]
box_17:[30 286 433 480,콜레스테롤 0 mg]
box_18:[409 469 434 473,0 %]
box_19:[32 232 483 529,단백질 0.7 g]
box_20:[412 474 483 522,1 %]
box_21:[31 468 533 562,1일 영양성분 기준치에 대한 비율(%)은 2,000kcal 기준이므로]
box_22:[26 337 555 585,개인의 필요 열량에 따라 다를 수 있습니다.]
}
