{
box_1:[18 102 34 80,영양정보]
box_2:[162 298 18 57,총 내용량 350 mL]
box_3:[216 298 54 95,148 kcal]
box_4:[16 111 112 157,총 내용량당]
box_5:[199 297 96 134,1일 영양성분]
box_6:[153 303 133 168,기준치에 대한 비율]
box_7:[17 128 173 210,나트륨 5 mg]
box_8:[262 301 171 207,0 %]
box_9:[17 135 208 249,탄수화물 37 g]
box_10:[258 299 208 244,11 %]
box_11:[32 115 248 291,당류 36 g]
box_12:[257 302 247 285,36 %]
box_13:[21 98 289 326,지방 0 g]
box_14:[268 306 287 322,0 %]
box_15:[31 162 323 366,트랜스지방 0 g]
box_16:[33 143 368 406,포화지방 0 g]
box_17:[265 309 363 400,0 %]
box_18:[16 165 404 445,콜레스테롤 0 mg]
box_19:[263 303 402 437,0 %]
box_20:[22 110 445 483,단백질 0 g]
box_21:[268 304 440 477,0 %]
box_22:[17 306 483 519,1일 영양성분 기준치에 대한 비율(%)]
box_23:[17 303 515 551,은 2,000 kcal 기준이므로 개인의 필요]
box_24:[17 255 548 592,열량에 따라 다를 수 있습니다.]
}
