{
box_1:[19 167 35 88,영양정보]
box_2:[212 420 19 61,총 내용량 1,000 g]
box_3:[198 423 56 101,100 g 당 275 kcal]
box_4:[25 130 117 160,100 g 당]
box_5:[312 417 112 140,1일 영양성분]
box_6:[266 417 134 163,기준치에 대한 비율]
box_7:[21 102 166 206,나트륨]
box_8:[179 283 168 210,500 mg]
box_9:[336 412 170 208,25 %]
box_10:[23 128 210 252,탄수화물]
box_11:[220 282 212 253,31 g]
box_12:[334 413 215 250,10 %]
box_13:[53 114 254 295,당류]
box_14:[237 284 257 295,6 g]
box_15:[353 412 258 297,6 %]
box_16:[25 87 299 337,지방]
box_17:[226 282 302 338,12 g]
box_18:[335 410 299 336,22 %]
box_19:[40 172 340 381,트랜스지방]
box_20:[213 341 340 383,0.5 g미만]
box_21:[41 145 383 423,포화지방]
box_22:[210 289 381 425,2.3 g]
box_23:[343 419 384 420,15 %]
box_24:[25 159 429 466,콜레스테롤]
box_25:[191 287 424 469,1.3 mg]
box_26:[355 414 429 466,0 %]
box_27:[25 109 468 510,단백질]
box_28:[221 291 471 509,10 g]
box_29:[341 414 467 507,18 %]
box_30:[20 423 522 550,1일 영양성분 기준치에 대한 비율(%) 2,000 kcal]
box_31:[21 424 548 576,기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.]
}
